,category,title,cash_price,store,link,created_at
36,notebooks,Notebook Dell Inspiron 3511 i5 1135G7 16Gb SSD 256Gb 15.6 Free,690329.0,venex,https://www.venex.com.ar//notebooks/notebook-dell-inspirion-3511-i5-1135g7-16gb-ssd-256gb-15-6-free.html,2023-08-28 13:20:35
37,notebooks,Notebook HP Pavilon i5 1135G7 8Gb SSD 256Gb + 16Gb Optane 13...,690329.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-pavilon-i5-1135g7-8gb-ssd-256gb-16gb-optane-13-fhd-w11.html,2023-08-28 13:20:35
38,notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 8Gb SSD 256Gb 15.6 FHD...,729990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-8gb-ssd-256gb-15-6-fhd-free.html,2023-08-28 13:20:35
39,notebooks,Notebook Lenovo V15 G2 i5 1135G7 8Gb SSD 256Gb 15.6 Free,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-8gb-ssd-256gb-15-6-free.html,2023-08-28 13:20:35
40,notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 16Gb SSD 256Gb 15.6 FHD...,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-16gb-ssd-256gb-15-6-fhd-free.html,2023-08-28 13:20:35
41,notebooks,Notebook HP 15DY2033 Intel Core i7 1165G7 8Gb SSD 256Gb 15.6...,751689.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-intel-core-i7-1165g7-8gb-ssd-256gb-15dy2033-15-6-w11.html,2023-08-28 13:20:35
42,notebooks,Notebook XPG Xenia 14 i5 1135G7 Iris XE SSD 512Gb NVME 16Gb 14...,759389.0,venex,https://www.venex.com.ar//notebooks/notebook-xpg-xenia-15-i5-1135g7-iris-xe-ssd-512gb-nvme-16gb-14-w10.html,2023-08-28 13:20:35
43,notebooks,Notebook Lenovo V15 G2 i5 1135G7 16Gb SSD 256Gb 15.6 Free,769990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-16gb-ssd-256gb-15-6-free.html,2023-08-28 13:20:35
44,notebooks,Notebook Lenovo L15 G3 Ryzen 5 5625U 8Gb SSD 256Gb 15.6 FHD...,789990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5625u-8gb-ssd-256gb-15-6-fhd-free.html,2023-08-28 13:20:35
45,notebooks,Notebook ASUS Zenbook 14 UM425QA-KI164W Ryzen 5 5600H 8Gb SSD...,797739.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-um25-ryzen-5-5600h-8gb-ssd-512gb-14-w11.html,2023-08-28 13:20:35
46,notebooks,Notebook Samsung Book 3 Core i5 1335u 8Gb 512Gb 15.6 FHD Silver...,805409.0,venex,https://www.venex.com.ar//notebooks/notebook-samsung-book-3-core-i5-8gb-512gb-silver-w11.html,2023-08-28 13:20:35
47,notebooks,Notebook Lenovo V15 G2 i7 1165G7 8Gb 1Tb 15.6 Free2,859990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-8gb-1tb-15-6-free.html,2023-08-28 13:20:35
48,notebooks,Notebook Lenovo V15 G2 i7 1165G7 16Gb 1Tb SSD 240Gb 15.6 Free,899990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-16gb-1tb-ssd-240gb-15-6-free.html,2023-08-28 13:20:35
49,notebooks,Notebook Lenovo Thinkpad L15 G3 Ryzen 7 5825U 8Gb SSD 512Gb...,929990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5825u-8gb-ssd-512gb-15-6-fhd-free.html,2023-08-28 13:20:35
