id,category,title,cash_price,link,created_at
52,notebooks,Notebook Lenovo Thinkpad E14 G2 Core i7 1165G7 8Gb SSD 256Gb 14...,$1058519,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
53,notebooks,Notebook Bangho Game Master 15Z12 Core i5 12500H 16Gb SSD 1Tb...,$1081539,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
54,notebooks,Notebook Asus TUF Gaming A15 FA506ICB-HN118W Ryzen 7 4800H 16Gb...,$1276389,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
55,notebooks,Notebook Bangho Game Master 15Z12 i7 12700H 32Gb SSD 2Tb RTX...,$1457399,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
56,notebooks,Notebook Apple Macbook AIR M1 13 8Gb 512Gb Silver,$1457409,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
57,notebooks,Notebook Gigabyte G5 15 i5 12500H 16Gb SSD NVME 512Gb RTX 3060...,$1499999,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
58,notebooks,Notebook Apple Macbook Air M1 13 8Gb 512Gb Space Grey,$1510339,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
59,notebooks,Notebook Asus ROG Zephyrus G14 GA401IHR-K2053T IHR Ryzen 7...,$1534109,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
60,notebooks,Notebook Bangho Game Master 15Z12 Core i7 12700H 32Gb SSD 2Tb...,$1558659,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
61,notebooks,Notebook Apple MacBook Pro M1 13 Inches 8Gb 256Gb Space Grey,$1603159,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
62,notebooks,Notebook Apple Macbook Pro M1 13 8Gb 512Gb Space Grey,$1670669,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
63,notebooks,Notebook Asus Zenbook Duo 14 UX482EGR-KA337W Core i7 1195G7...,$1687519,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
64,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3060P...,$1917659,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
65,notebooks,Notebook Gigabyte Aorus 17G i7 11800H RTX 3070 16Gb SSD 512Gb...,$2041919,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
66,notebooks,Notebook Gigabyte Aero 5 KE4 i7 12700H 16Gb SSD 1Tb RTX 3060...,$2100959,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
67,notebooks,Notebook Gigabyte Aero 17 XE5 12700H 16Gb DDR5 NVME 1Tb + 1Tb...,$2227549,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
68,notebooks,Notebook Gigabyte Aorus 5 SE4 i7 12700H 16Gb SSD 512Gb RTX 3070...,$2227549,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
69,notebooks,Notebook Gigabyte Aorus 17 XE5 i7 12700H 16Gb SSD 1Tb RTX...,$2278169,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
70,notebooks,Notebook Gigabyte Aorus 5 KE4 i7 12700H 16Gb SSD 1Tb RTX 3060...,$2312099,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
71,notebooks,Notebook Gigabyte Aero 16 KE5 i7 12700H 16Gb SSD 1Tb RTX 3070Ti...,$2362549,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
72,notebooks,Notebook Gigabyte Aorus 15 XE4 i7 12700H 16Gb SSD NVME 1Tb RTX...,$2430059,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
73,notebooks,Notebook Gigabyte Aero XE5 i7 12700H 16Gb SSD 1Tb + 1Tb RTX...,$2446919,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
74,notebooks,Notebook Gigabyte Aero 17 KE5 i7 12700H 16Gb SSD NVME 1Tb RTX...,$2480689,https://www.venex.com.ar//notebooks/notebook-aiwa-cloudbook-ca141-c-4gb-128gb-14-c-funda.html,2023-08-22 12:52:26
75,monitores,Espuma De Limpieza Para Monitores y Otros,$4599,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
76,monitores,Monitor LG Led 19 19M38A-B,$63519,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
77,monitores,Monitor 19 Philips 193V5LHSB2/55 HDMI HD 60Hz,$73609,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
78,monitores,Monitor 20 Led LG 20MK400H-B Hdmi HD,$85469,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
79,monitores,Monitor 22 Philips 221V8/77 FHD 75Hz,$92029,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
80,monitores,Monitor 24 Noblex  91MK24X7100 FHD 75Hz IPS,$98179,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
81,monitores,Monitor 22 LED LG 22MP410-B HDMI,$100479,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
82,monitores,Monitor 24 Philips 241V8L/77 VA FHD 75Hz,$101229,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
83,monitores,Monitor 24 Hikivision DS-D5024FN TFT FHD 60Hz,$101239,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
84,monitores,Monitor 24 LED LG 24MK430H-B Full HD 75Hz,$106259,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
85,monitores,Monitor 22 Asus VP228HE-J TN FHD 60Hz,$107359,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
86,monitores,Monitor 19 Samsung LED S33A,$109559,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
87,monitores,Monitor 22 Lcd Lg 22BK55WY-B Wide,$110449,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
88,monitores,Monitor 22 Hikvision FHD 5022 HDMI,$113509,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
89,monitores,Monitor 22 Led Samsung T350 FHD IPS 5ms HDMI VGA 75Hz,$125999,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
90,monitores,"Monitor 22"" LG 22MK600M FHD IPS 75Hz 5Ms",$127049,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
91,monitores,Monitor 27 E-View 271AXA VGA/HDMI FHD 60Hz,$134989,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
92,monitores,Monitor 24 LED Samsung T350 FHD IPS 5Ms 75Hz,$136499,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
93,monitores,Monitor 27 Hikivision DS-D5027FN TFT FHD 60Hz,$138059,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
94,monitores,Monitor 24 Led LG 24MK600M Hdmi IPS FHD 75Hz,$138599,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
95,monitores,Monitor 27 Philips 272V8LA/5 VA FHD 75Hz,$144179,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
96,monitores,Monitor 27 Led LG 27MK400H-B HDMI,$151869,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
97,monitores,Monitor 24 Asus VA24EHE-J IPS FHD 75Hz,$153389,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
98,monitores,Monitor 26 LG LED 26WQ500-B Ultrawide 75Hz,$172199,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
99,monitores,Monitor 24 Led Samsung Curvo Cf390 Full Hd,$175349,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
100,monitores,Monitor 24 Viewsonic VX2416 IPS FHD,$179499,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
101,monitores,Monitor 24 AOC G2490VX 144Hz 1Ms Freesync Negro/Rouge,$184079,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
102,monitores,Monitor 27 Philips Curvo 27E1SCA/55 FHD 75Hz,$184079,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
103,monitores,Monitor 24 LED Samsung G50 FHD Curvo 144Hz,$188999,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
104,monitores,Monitor 24 LG 24GN60R-B IPS FHD 144Hz,$196349,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
105,monitores,Monitor 27 Viewsonic VX27 16 IPS FHD 100Hz,$207099,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
106,monitores,Monitor 27 AOC G2790VX 144Hz Freesync,$214759,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
107,monitores,Monitor 32 LED LG 32MN500M-B FHD,$220499,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
108,monitores,Monitor 24 Viewsonic XG240R TN FHD 144Hz,$223969,https://www.venex.com.ar//monitores/espuma-de-limpieza-para-monitores-y-otros.html,2023-08-22 12:52:27
