category,title,cash_price,store,link,brand,model,processor,memory,storage,created_at
notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 8Gb Ssd 256Gb 15.6 Fhd...,729990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-8gb-ssd-256gb-15-6-fhd-free.html,Lenovo,82KD00CGAR,AMD Ryzen 7 5700U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 I5 1135G7 8Gb Ssd 256Gb 15.6 Free,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-8gb-ssd-256gb-15-6-free.html,Lenovo,82KB00F6AR,Intel Core i5 1135G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 Ryzen 7 5700U 16Gb Ssd 256Gb 15.6 Fhd...,749990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-ryzen-7-5700u-16gb-ssd-256gb-15-6-fhd-free.html,Lenovo,82KD00CGAR+8GB,AMD Ryzen 7 5700U,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Hp 15Dy2033 Intel Core I7 1165G7 8Gb Ssd 256Gb 15.6...,751689.0,venex,https://www.venex.com.ar//notebooks/notebook-hp-intel-core-i7-1165g7-8gb-ssd-256gb-15dy2033-15-6-w11.html,Hp,544Q3UA#ABA,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Xpg Xenia 14 I5 1135G7 Iris Xe Ssd 512Gb Nvme 16Gb 14...,759389.0,venex,https://www.venex.com.ar//notebooks/notebook-xpg-xenia-15-i5-1135g7-iris-xe-ssd-512gb-nvme-16gb-14-w10.html,Xpg,XENIA,Intel Core i5 1135G7,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 I5 1135G7 16Gb Ssd 256Gb 15.6 Free,769990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i5-1135g7-16gb-ssd-256gb-15-6-free.html,Lenovo,82KB00F6AR+8GB,Intel Core i5 1135G7,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Game Master 15Z12 I5 12500H 16Gb 1Tb Gtx 1650...,789990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-i5-12500h-16gb-1tb-gtx-1650-15-6-free.html,Bangho,G62S5JGU13XFXX5FXC20,Intel Core i5 12500H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo L15 G3 Ryzen 5 5625U 8Gb Ssd 256Gb 15.6 Fhd...,789990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-l15-g3-ryzen-5-5625u-8gb-ssd-256gb-15-6-fhd-free.html,Lenovo,21C8S1C000,AMD Ryzen 5 5625U,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Asus Zenbook 14 Um425Qa-Ki164W Ryzen 5 5600H 8Gb Ssd...,797739.0,venex,https://www.venex.com.ar//notebooks/notebook-asus-zenbook-um25-ryzen-5-5600h-8gb-ssd-512gb-14-w11.html,Asus,90NB0TV1-M004F0,AMD Ryzen 5 5600H,8 Gigas,8 Gigas,2023-09-04 10:49:24
notebooks,Notebook Bangho Game Master 15Z12 Core I5 12500H 16Gb 1Tb Gtx...,859990.0,venex,https://www.venex.com.ar//notebooks/notebook-bangho-game-master-15z12-core-i5-12500h-16gb-1tb-gtx-1650-15-6-w11.html,Bangho,G62S5JGU13XFXX5HXC20,Intel Core i5 12500H,16 Gigas,16 Gigas,2023-09-04 10:49:24
notebooks,Notebook Lenovo V15 G2 I7 1165G7 8Gb 1Tb 15.6 Free2,859990.0,venex,https://www.venex.com.ar//notebooks/notebook-lenovo-v15-g2-i7-1165g7-8gb-1tb-15-6-free.html,Lenovo,82KB00F7AR,Intel Core i7 1165G7,8 Gigas,8 Gigas,2023-09-04 10:49:24
