category,title,cash_price,link,store,created_at
notebooks,"Notebook Asus X515EA Core i7-1165G7 8Gb Ssd M2 960Gb 15.6"" Win11 ",768989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45953-notebook-asus-x515ea-core-i7-1165g7-8gb-ssd-m2-960gb-15.6-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7-1165G7 16Gb Ssd 512Gb 15.6"" Win11",739989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45103-notebook-asus-x515ea-core-i7-1165g7-16gb-ssd-512gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7-1165G7 16Gb Ssd M2 960Gb 15.6"" Win11",788989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45954-notebook-asus-x515ea-core-i7-1165g7-16gb-ssd-m2-960gb-15.6-win11#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7-1165G7 24Gb Ssd 512Gb 15.6"" Win11 ",755989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45104-notebook-asus-x515ea-core-i7-1165g7-24gb-ssd-512gb-15.6-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus X515EA Core i7-1165G7 24Gb Ssd M2 960Gb 15.6"" Win11 ",804989.0,https://www.mexx.com.ar/productos-rubro/notebooks/45955-notebook-asus-x515ea-core-i7-1165g7-24gb-ssd-m2-960gb-15.6-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Asus Gamer Core i9-12900 32Gb Ssd 1Tb RTX 3060 6GB 16""Tactil Win11",3029999.0,https://www.mexx.com.ar/productos-rubro/notebooks/45454-notebook-asus-gamer-core-i9-12900-32gb-ssd-1tb-rtx-3060-6gb-16tactil-win11.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook HP X360 Pentium 4Gb Ssd 256Gb 14"" Win10",367999.0,https://www.mexx.com.ar/productos-rubro/notebooks/45298-notebook-hp-x360-pentium-4gb-ssd-256gb-14-win10.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 8Gb 1Tb 14"" Win11",494999.0,https://www.mexx.com.ar/productos-rubro/notebooks/44118-notebook-hp-240-g8-core-i3-8gb-1tb-14-win11.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 8Gb Ssd M2 240Gb 1Tb 14"" Win11 ",514689.0,https://www.mexx.com.ar/productos-rubro/notebooks/46198-notebook-hp-240-g8-core-i3-8gb-ssd-m2-240gb-1tb-14-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 8Gb Ssd M2 480Gb 1Tb 14"" Win11 ",524989.0,https://www.mexx.com.ar/productos-rubro/notebooks/46199-notebook-hp-240-g8-core-i3-8gb-ssd-m2-480gb-1tb-14-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 16Gb 1Tb 14"" Win11 ",514989.0,https://www.mexx.com.ar/productos-rubro/notebooks/44202-notebook-hp-240-g8-core-i3-16gb-1tb-14-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 16Gb Ssd M2 240Gb 1Tb 14"" Win11 ",534689.0,https://www.mexx.com.ar/productos-rubro/notebooks/46200-notebook-hp-240-g8-core-i3-16gb-ssd-m2-240gb-1tb-14-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 16Gb Ssd M2 480Gb 1Tb 14"" Win11 ",544989.0,https://www.mexx.com.ar/productos-rubro/notebooks/46201-notebook-hp-240-g8-core-i3-16gb-ssd-m2-480gb-1tb-14-win11-#.html,mexx,2023-09-04 10:43:22
notebooks,"Notebook Hp 240 G8 Core i3 8Gb 512Gb 14"" Win11",594989.0,https://www.mexx.com.ar/productos-rubro/notebooks/46101-notebook-hp-240-g8-core-i3-8gb-512gb-14-win11.html,mexx,2023-09-04 10:43:22
